"Status","Name","Duration in ms","Description"
"passed","test_qupsassignment.TestqupsAssignment#test_Case04","149307",""
"passed","test_qupsassignment.TestqupsAssignment#test_Case01","19643",""
"passed","test_qupsassignment.TestqupsAssignment#test_Case02","19500",""
"passed","test_qupsassignment.TestqupsAssignment#test_Case03","104642",""
